title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Mosby's Textbook for the Home Care Aide,323084338,9780323084338,37.22,0,2,39.22
Mosby's Textbook for Medication Assistants,323046878,8601423104072,49.88,0,2,51.88
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",323080685,9780323080682,35.67,6.43,2,44.1
Workbook and Competency Evaluation Review for Mosby's Textbook for Nursing Assistants,323081576,9780323081573,3.99,3.99,2,9.98
Workbook for Mosby's Textbook for the Home Care Aide,323084397,9780323084390,23.61,3.99,2,29.6
"Mosby's Textbook for Nursing Assistants - Hard Cover Version (Sorrentino,Mosby's Textbook of Nursing Assistant's)",323049982,9780323049986,5.13,3.99,2,11.12
Mosby's Textbook for Nursing Assistants - Soft Cover Version,323009247,9780323009249,6.82,0,2,8.82
Mosby's Essentials for Nursing Assistants,323523927,9780323523929,36.89,5.84,2,44.73
Handbook of Geriatric Care Management,1284078981,9781284078985,61.89,3.99,2,67.88
"Client Teaching Guides for Home Health Care (Gorman, Client Teaching Guides for Home Health Guides)",763749346,9780763749347,146.0,3.99,2,151.99
"Nursing Home Administration, Sixth Edition",826107044,9780826107046,22.51,4.49,2,29.0
Hale and Hartmann's Textbook of Human Lactation,977226891,9780977226894,11.13,3.99,2,17.12
"Developmental Science: An Advanced Textbook, Sixth Edition",1848728719,9781848728714,9.99,3.99,2,15.98
"Breastfeeding and Human Lactation, Enhanced Fifth Edition",1284093956,9781284093957,111.59,3.99,2,117.58
Parenting: A Dynamic Perspective,1483347486,9781483347486,47.18,5.49,2,54.67
Observing Development of the Young Child (8th Edition),132867567,9780132867566,59.82,0,2,61.82
An Introduction to Community  &  Public Health,1284108414,9781284108415,61.49,0,2,63.49
Impact of Birthing Practices on Breastfeeding,763763748,9780763763749,47.25,3.99,2,53.24
Observing and Understanding Child Development: A Child Study Manual,1418015369,9781418015367,25.71,3.99,2,31.7
The Core Curriculum for Lactation Consultant Practice,763745030,9780763745035,89.95,3.99,2,95.94
The Young Child: Development from Prebirth Through Age Eight (6th Edition),132944014,9780132944014,11.45,3.98,2,17.43
"Infants, Toddlers, and Caregivers: A Curriculum of Respectful, Responsive Care and Education",73378542,9780073378541,1.99,3.99,2,7.98
Infancy: Development From Birth to Age 3 (2nd Edition),205734197,9780205734191,19.48,3.98,2,25.46
Child Development: Principles and Perspectives (2nd Edition),205494064,9780205494064,31.82,3.99,2,37.81
Understanding Child Development (What’s New in Early Childhood),495809306,9780495809302,80.0,3.99,2,85.99
Breastfeeding: A Guide for the Medical Professional (Expert Consult - Online and Print) (Breastfeeding (Lawrence)),1437707882,9781437707885,13.46,3.99,2,19.45
Atlas of Human Anatomy: with Student Consult Access (Netter Basic Science),1416059512,9781416059516,29.99,6.77,2,38.76
Lean IT: Enabling and Sustaining Your Lean Transformation,1439817561,9781439817568,12.19,3.99,2,18.18
"The Punisher, Vol. 2",785159207,9780785159209,70.0,3.99,2,75.99
"New X-Men, Vol. 1",785132511,8601300485522,11.23,3.94,2,17.17
Shackelford's Surgery of the Alimentary Tract - 2 Volume Set: Expert Consult - Online and Print,1437722067,9781437722062,195.88,3.99,2,201.87
House of M: No More Mutants,785138838,9780785138839,40.0,3.99,2,45.99
The Stand: The Night Has Come,785136452,9780785136453,12.95,3.99,2,18.94
"Essential Dazzler, Vol. 1 (Marvel Essentials) (v. 1)",785126953,9780785126959,17.95,3.99,2,23.94
Flash: The Human Race,1401222390,9781401222390,22.06,3.99,2,28.05
Madman Volume 1 (v. 1),1582408106,9781582408101,5.12,3.99,2,11.11
Master the Boards USMLE Step 3,1506235875,9781506235875,33.91,3.99,2,39.9
USMLE Step 3 Secrets,1455753998,9781455753994,24.94,3.99,2,30.93
"First Aid for the Basic Sciences, Third Edition (VALUE PACK)",1260019535,9781260019537,115.99,3.99,2,121.98
Watchmen,1401219268,9781401219260,12.98,3.99,2,18.97
