title,isbn10,isbn13,purchase_cost,shipping_cost,processing_cost,net_buying_cost
Electric Motor Control,1133702813,9781133702818,66.99,0,2,68.99
Silverthorn (Turtleback School & Library Binding Edition) (Riftwar Saga),0613293452,9780613293457,9.91,0,2,11.91
Meal Service Study Course,0813827639,9780813827636,5.02,0,2,7.02
Food for Fifty (12th Edition),0131138715,9780131138711,10.69,10.79,2,23.48
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187,137.31,3.99,2,143.3
Electricity for the Trades,0073134317,9780073134314,72.0,3.99,2,77.99
The Fashion Industry and Its Careers: An Introduction,1628923415,9781628923414,36.2,3.99,2,42.19
Industrial Motor Control,1133691803,9781133691808,86.69,21.56,2,110.25
"Electrical Control for Machines, 6E",0766861988,9780766861985,11.88,5.64,2,19.52
"Workbook: for Harmonic Practice in Tonal Music, Second Edition",039397667X,9780393976670,2.04,3.99,2,8.03
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158,5.42,3.99,2,11.41
McDougal Littell Middle School Science: Student Edition Grades 6-8 Chemical Interactions 2005,0618334386,9780618334384,1.99,3.98,2,7.97
Food for Fifty: 9th edition,0024103411,0000024103411,5.73,3.99,2,11.72
"Red, White and Black (7th Edition)",0205887597,9780205887590,57.71,3.99,2,63.7
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317,31.95,3.98,2,37.93
Understanding Motor Controls,1305498127,9781305498129,100.0,3.99,2,105.99
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229,68.01,3.99,2,74.0
ASE Transit Bus Technician Certification H6: Electrical/Electronic Systems (Ase Test Preparation),1418049999,9781418049997,18.07,3.99,2,24.06
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503,70.04,3.99,2,76.03
Beyond Feelings: A Guide to Critical Thinking,0078038189,0000078038189,45.08,3.99,2,51.07
Social and Personality Development,0495600385,9780495600381,39.61,6.07,2,47.68
Textual Poachers: Television Fans and Participatory Culture,0415533295,9780415533294,38.12,3.99,2,44.11
"It's All for the Kids: Gender, Families, and Youth Sports",0520257103,0884566083222,1.99,3.99,2,7.98
Essentials of Professional Cooking,1118998707,9781118998700,24.62,3.99,2,30.61
Life and Times of William IV (Kings & Queens),0297778390,9780297778394,5.59,3.99,2,11.58
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168,22.51,3.99,2,28.5
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620,4.91,3.99,2,10.9
Glencoe Chemistry: Matter and Change,0078964059,9780078964053,73.52,3.99,2,79.51
Graphic Design: A New History,0300172605,0884898151897,30.35,3.99,2,36.34
The Quiet American (Penguin Classics Deluxe Edition),0143039024,9780143039020,3.7,4.97,2,10.67
Electric Machines and Drives,1118074815,9781118074817,35.99,3.99,2,41.98
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958,3.2,3.99,2,9.19
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117,95.99,3.99,2,101.98
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337,80.99,3.99,2,86.98
"The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African, Written by Himself (Norton Critical Editions)",0393974944,8601416937908,4.51,3.95,2,10.46
"Internetworking with TCP/IP, Vol. III: Client-Server Programming and Applications, Linux/Posix Sockets Version",0130320714,9780130320711,12.15,3.99,2,18.14
Electric Motors and Control Systems,0073521825,8580000596632,3.99,3.99,2,9.98
"Industrial Motor Control, 6th Edition",1435442393,9781435442399,16.4,3.99,2,22.39
Ultimate Questions: Thinking about Philosophy (3rd Edition),020573197X,9780205731978,48.9,3.99,2,54.89
Modern Chemistry: Student Edition 2007,0030922046,9780030922046,12.86,3.99,2,18.85
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767,16.08,4.49,2,22.57
Electrical Motor Controls for Integrated Systems,0826912265,9780826912268,85.9,3.99,2,91.89
Successful Coaching-4th Edition,1450400515,9781450400510,16.0,6.4,2,24.4
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224,100.0,3.99,2,105.99
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553,48.96,3.99,2,54.95
Modern Chemistry: Student Edition 2012,0547586639,9780547586632,66.99,3.99,2,72.98
Genetics: Breaking the Code of Your DNA (Inquire and Investigate),1619302128,9781619302129,14.06,0,2,16.06
