title,isbn10,isbn13,vendor_buy,description,purchase_cost,processing_cost,net_buying_cost,url_buy
Applied Mergers and Acquisitions Workbook,471395854,9780471395850,N/A,N/A,N/A,N/A,N/A,N/A
"Mergers, Acquisitions, and Corporate Restructurings (Wiley Corporate F&A)",1119380766,9781119380764,N/A,N/A,N/A,N/A,N/A,N/A
Art of M&A: Financing and Refinancing,70383030,9780070383036,N/A,N/A,N/A,N/A,N/A,N/A
The Strongest Link: Forging a Profitable and Enduring Corporate Alliance,814407439,9780814407431,N/A,N/A,N/A,N/A,N/A,N/A
Commercial Due Diligence: The Key to Understanding Value in an Acquisition,566086514,9780566086519,N/A,N/A,N/A,N/A,N/A,N/A
"Today's White-Collar Crime: Legal, Investigative, and Theoretical Perspectives (Criminology and Justice Studies)",415996112,9780415996112,N/A,N/A,N/A,N/A,N/A,N/A
The Longman Companion to Victorian Fiction,1408203901,9781408203903,N/A,N/A,N/A,N/A,N/A,N/A
"Investment Banking: Valuation, Leveraged Buyouts, and Mergers and Acquisitions, 2nd Edition",1118472209,9781118472200,N/A,N/A,N/A,N/A,N/A,N/A
Moral Mazes: The World of Corporate Managers,199729883,9780199729883,N/A,N/A,N/A,N/A,N/A,N/A
Supply Chain Management: A Logistics Perspective,1305859979,9781305859975,N/A,N/A,N/A,N/A,N/A,N/A
Victorian Literature: 1830-1900,155071777,9780155071773,N/A,N/A,N/A,N/A,N/A,N/A
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,N/A,N/A,N/A,N/A,N/A,N/A
Due Diligence Techniques and Analysis: Critical Questions for Business Decisions,313361037,9780313361036,N/A,N/A,N/A,N/A,N/A,N/A
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,N/A,N/A,N/A,N/A,N/A,N/A
Operations Management,470325046,9780470325049,N/A,N/A,N/A,N/A,N/A,N/A
How to Buy and/or Sell a Small Business for Maximum  Profit -- A Step-by-Step Guide: With Companion CD-ROM,910627533,9780910627535,N/A,N/A,N/A,N/A,N/A,N/A
Suffer and Be Still: Women in the Victorian Age,253201683,9780253201683,N/A,N/A,N/A,N/A,N/A,N/A
Victorian Poetry: An Annotated Anthology,631234365,9780631234364,N/A,N/A,N/A,N/A,N/A,N/A
Mergers and Acquisitions: Text and Cases (The Ivey Casebook Series),1412941040,9781412941044,N/A,N/A,N/A,N/A,N/A,N/A
Strange and Secret Peoples: Fairies and Victorian Consciousness,195144112,9780195144116,N/A,N/A,N/A,N/A,N/A,N/A
Purity and Contamination in Late Victorian Detective Fiction,754668134,9780754668138,N/A,N/A,N/A,N/A,N/A,N/A
"Jackpot: High Times, High Seas, And The Sting That Launched The War On Drugs",762780304,9780762780303,N/A,N/A,N/A,N/A,N/A,N/A
