category,url
Books:Sports & Outdoors:Rodeos,https://www.amazon.com/s/ref=sr_nr_n_22?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A13022451&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
Books:Sports & Outdoors:Football (American),https://www.amazon.com/s/ref=sr_nr_n_21?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16378&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
Books:Sports & Outdoors:Golf,https://www.amazon.com/s/ref=sr_nr_n_17?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16381&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
"Books:Mystery, Thriller & Suspense:Writing",https://www.amazon.com/s/ref=sr_nr_n_2?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A12034&bbn=18&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=18
Books:Sports & Outdoors:Extreme Sports,https://www.amazon.com/s/ref=sr_nr_n_14?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A13022441&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
Books:Science Fiction & Fantasy:Writing,https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A12038&bbn=25&keywords=textbooks&ie=UTF8&qid=1535004104&rnid=25
Books:Sports & Outdoors:Training,https://www.amazon.com/s/ref=sr_nr_n_6?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16640&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
"Books:Crafts, Hobbies & Home:Weddings",https://www.amazon.com/s/ref=sr_nr_n_9?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A48%2Cn%3A5418&bbn=48&keywords=textbooks&ie=UTF8&qid=1535004107&rnid=48
Books:Literature & Fiction:Foreign Language Fiction,https://www.amazon.com/s/ref=sr_nr_n_19?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A16260301&bbn=17&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=17
Books:Science Fiction & Fantasy:Fantasy:Action & Adventure,https://www.amazon.com/s/ref=sr_nr_n_10?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A16190%2Cn%3A10159265011&bbn=16190&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16190
Books:Parenting & Relationships:Family Activities,https://www.amazon.com/s/ref=sr_nr_n_10?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A20%2Cn%3A11365&bbn=20&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=20
Books:Sports & Outdoors:Coaching:Training & Conditioning,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A266218%2Cn%3A16640&bbn=266218&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=266218
Books:Science Fiction & Fantasy:Fantasy:Paranormal & Urban,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A16190%2Cn%3A3559310011&bbn=16190&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16190
Books:Sports & Outdoors:Soccer,https://www.amazon.com/s/ref=sr_nr_n_15?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16638&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
Books:Sports & Outdoors:Racket Sports:Racquetball,https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16626%2Cn%3A16631&bbn=16626&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16626
"Books:Lesbian, Gay, Bisexual & Transgender Books:LGBT Studies",https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A301889%2Cn%3A16244291&bbn=301889&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=301889
Books:Science Fiction & Fantasy:Science Fiction:Dystopian,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A25%2Cn%3A16272%2Cn%3A3559311011&bbn=16272&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16272
Books:Sports & Outdoors:Hiking & Camping:Instructional,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16384%2Cn%3A16472&bbn=16384&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16384
Books:Sports & Outdoors:Hiking & Camping:Excursion Guides,https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16384%2Cn%3A16400&bbn=16384&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=16384
