title,isbn10,isbn13
On Cooking: A Textbook of Culinary Fundamentals (5th Edition),013715576X,9780137155767
Peter Reinhart's Artisan Breads Every Day,1580089984,8601421527620
"Weeknight Wonders: Delicious, Healthy Dinners in 30 Minutes or Less",1118409493,0884415880958
"The America's Test Kitchen Quick Family Cookbook: A Faster, Smarter Way to Cook Everything from America's Most Trusted Test Kitchen",1933615990,9781933615998
Dr. Jekyll and Mr. Hyde: A Kaplan SAT Score-Raising Classic (Kaplan Test Prep),1607148633,8581000050377
The Professional Chef,0470421355,0884713890789
Food for Fifty (14th Edition) (What's New in Culinary & Hospitality),0134437187,9780134437187
Essentials of Professional Cooking,1118998707,9781118998700
Culinary Calculations: Simplified Math for Culinary Professionals,0471748161,9780471748168
Food for Fifty: 9th edition,0024103411,0000024103411
Food for Fifty (12th Edition),0131138715,9780131138711
"Classical Cooking The Modern Way: Methods and Techniques, Third Edition",0471291870,9780471291879
Cooking for Fifty: The Complete Reference and Cookbook,047157015X,9780471570158
Meal Service Study Course,0813827639,9780813827636
Successful Coaching-4th Edition,1450400515,9781450400510
Strength and Conditioning for Sports Performance,0415578213,9780415578219
"Delmar's Standard Textbook of Electricity, 4th Edition",1418065803,9781418065805
Electrical Motor Controls for Integrated Systems,0826912265,9780826912268
Understanding Motor Controls,1305498127,9781305498129
Industrial Motor Control,1133691803,9781133691808
Fabrication Engineering at the Micro- and Nanoscale (The Oxford Series in Electrical and Computer Engineering),0199861226,9780199861224
Electricity for the Trades,0073134317,9780073134314
Electric Motors and Control Systems,0073373818,9780073373812
"Protective Relaying: Principles and Applications, Fourth Edition",1439888116,9781439888117
Mathematics for Electrical Engineering and Computing,075065855X,9780750658553
Electric Motor Control,1133702813,9781133702818
"Electrical Machines, Drives and Power Systems (6th Edition)",0131776916,9780131776913
Electric Motors and Control Systems,0073521825,8580000596632
"Electrical Control for Machines, 6E",0766861988,9780766861985
Massey Ferguson Shop Manual Models  MF362 365 375 383 390+,0872885208,9780872885202
"Industrial Motor Control, 6th Edition",1435442393,9781435442399
Introduction to Optimal Estimation (Advanced Textbooks in Control and Signal Processing),185233133X,9781852331337
Foundations for Clinical Mental Health Counseling: An Introduction to the Profession (3rd Edition),0134384776,9780134384771
Transforming the School Counseling Profession (5th Edition) (Merrill Counseling),0134610598,9780134610597
Transforming the School Counseling Profession (4th Edition) (Merrill Counseling (Hardcover)),0133351890,9780133351897
History of Modern Design (2nd Edition) (Fashion Series),0205728502,9780205728503
Silverthorn (Turtleback School & Library Binding Edition) (Riftwar Saga),0613293452,9780613293457
"A Medieval Life: Cecilia Penifader of Brigstock, c. 1295-1344",0072903317,9780072903317
Critical Thinking,1259690873,9781259690877
ASE Transit Bus Technician Certification H6: Electrical/Electronic Systems (Ase Test Preparation),1418049999,9781418049997
Electric Machines and Drives,1118074815,9781118074817
CHEMISTRY 2012 STUDENT EDITION (HARD COVER) GRADE 11,0132525763,9780132525763
Tonal Harmony,125944709X,9781259447099
Counseling Strategies and Interventions for Professional Helpers (9th Edition) (The Merrill Counseling Series),0133905225,9780133905229
