title,isbn10,isbn13,vendor,selling_price,url_sell
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,Textbookrecycling.com,1.46,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1554810736
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,TextbooksRush,4.5,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9781554810734|3|0
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,AbeBooks,3.5,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781554810734|0|3&sub=bookfinder
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,Bookbyte,2.75,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9781554810734
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,sellbackyourbook.com,3.97,https://www.sellbackyourbook.com/allbookstores.php?isbn=1554810736&afid=183
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,Booksrun,0.8,https://booksrun.com/api/cart/sell/add/1554810736:Good?afk=360
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,Amazon,5.03,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=1554810736&tag=buybacknew-b-20
The Broadview Anthology of British Literature Volume 5: The Victorian Era - Second Edition (Broadview Anthology of British Literature - Second Edition),1554810736,9781554810734,ecampus.com,3.0,http://www.kqzyfj.com/click-284433-12088826?item=9781554810734
Operations Management,0470325046,9780470325049,Bookbyte,2.0,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9780470325049
Operations Management,0470325046,9780470325049,sellbackyourbook.com,3.95,https://www.sellbackyourbook.com/allbookstores.php?isbn=0470325046&afid=183
Operations Management,0470325046,9780470325049,MyBookCart,2.86,https://www.mybookcart.com/cart/affiliate/23423/9780470325049
Operations Management,0470325046,9780470325049,Booksrun,1.34,https://booksrun.com/api/cart/sell/add/0470325046:Good?afk=360
Operations Management,0470325046,9780470325049,Amazon,3.14,https://www.amazon.com/gp/tradein/add-to-cart.html?asin=0470325046&tag=buybacknew-b-20
Operations Management,0470325046,9780470325049,ValoreBooks,2.5,http://www.valorebooks.com/affiliate/sell/siteID=U1VGnq/ISBN=9780470325049
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,Textbookrecycling.com,19.41,http://textbookrecycling.com/buyrefer.aspx?tracking=BF&isbns=1554811333
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,TextbooksRush,20.25,http://www.textbookrush.com/sell/buyback-cart.aspx?a=add&st=-1&kbid=1119&i=9781554811335|3|0
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,AbeBooks,18.75,http://buyback.abebooks.com/cart.aspx?a=add&st=-1&kbid=1052&sub=bookfinder&i=9781554811335|0|3&sub=bookfinder
The Broadview Anthology of British Literature: Concise Volume B - Second Edition: The Age of Romanticism - The Victorian Era - The Twentieth Century ... of British Literature - Second Edition),1554811333,9781554811335,Bookbyte,5.75,https://bookbyte.pxf.io/c/59145/390573/5344?uraw=www.bookbyte.com/buyback2.aspx?isbn=9781554811335
